TunnelName,WikiLink,TunnelType,Length[m],OpeningDate,Latitude,Longitude
Saddington Tunnel,/wiki/Grand_Union_Canal,Canal,805.0,1797,52.05083333333333,-0.7338888888888888
Glenfield Tunnel,/wiki/Glenfield_Tunnel,Railway,1633.0,1832,,
Kirton-in-Lindsey,/wiki/Kirton-in-Lindsey,Railway,1200.0,Unknown,53.475833333333334,-0.5886111111111112
Stamford Tunnel,No link,Railway,312.0,Unknown,,
Stoke Tunnel,/wiki/Stoke_Tunnel_(Lincolnshire),Railway,800.0,Unknown,51.53138888888889,-0.12333333333333334
Northern line (Morden to East Finchley via Bank),/wiki/Northern_line,Railway,27800.0,1890-1939,51.650555555555556,-0.19416666666666665
Piccadilly line (Bounds Green to Barons Court),/wiki/Piccadilly_line,Railway,19610.0,1906–32,51.651666666666664,-0.14888888888888888
Piccadilly line (Hounslow Central to Heathrow Terminal 5),/wiki/Piccadilly_line,Railway,8760.0,1975-2008,51.651666666666664,-0.14888888888888888
Victoria line (Brixton to Walthamstow Central),/wiki/Victoria_line,Railway,22040.0,1968–72,51.58305555555556,-0.01972222222222222
Central line (Stratford to White City),/wiki/Central_line_(London_Underground),Railway,17390.0,1900–46,,
Northern line (Kennington to Golders Green via Charing Cross),/wiki/Northern_line,Railway,11940.0,1907–26,51.650555555555556,-0.19416666666666665
Bakerloo line (Elephant & Castle to Queen's Park),/wiki/Bakerloo_line,Railway,10900.0,1906–15,51.5925,-0.33555555555555555
Waterloo & City line (Waterloo to Bank),/wiki/Waterloo_%26_City_line,Railway,2226.0,1898,51.51305555555555,-0.08805555555555555
Barnet Tunnel,/wiki/Barnet_Tunnel,Railway,553.0,1849,51.629444444444445,-0.15833333333333333
Belsize Fast Lines Tunnel,No link,Railway,1619.0,1868[18],,
Belsize Slow Lines Tunnel,No link,Railway,1707.0,1884[18],,
Bishopsgate Tunnel,No link,Railway,573.0,Unknown,,
Blackwall Tunnel (Eastern bore),/wiki/Blackwall_Tunnel,Road,1174.0,1967,51.504444444444445,-0.0030555555555555557
Blackwall Tunnel (Western bore),/wiki/Blackwall_Tunnel,Road,1350.0,1897,51.504444444444445,-0.0030555555555555557
Camden Road Tunnels,No link,Railway,288.0,1867,,
Canal Tunnels,No link,Railway,688.0,2016,,
Canonbury Tunnel,No link,Railway,498.0,1874,,
Clapton Tunnel,No link,Railway,260.0,1872,,
Copenhagen Tunnels,No link,Railway,543.0,"1877, 1850, 1886",,
Crossrail Royal Oak to Farringdon,/wiki/Crossrail#Tunnels,Railway,6400.0,Due to open 2017,,
Crossrail Limmo Peninsula to Farringdon,/wiki/Crossrail#Tunnels,Railway,8300.0,Due to open 2017,,
Crossrail Pudding Mill Lane to Stepney Green,/wiki/Crossrail#Tunnels,Railway,2700.0,Due to open 2017,,
Crossrail Plumstead to North Woolwich (Thames tunnel section),/wiki/Crossrail#Tunnels,Railway,2600.0,Due to open 2017,,
Crossrail Limmo Peninsula (Royal Docks) to Victoria Dock portal,/wiki/Crossrail#Tunnels,Railway,900.0,Due to open 2017,,
Crouch Hill Tunnel,No link,Railway,82.0,1868[18],,
East India Dock Link,No link,Road,350.0,1993,,
Fore Street tunnel,No link,Road,,1998,,
Gas Works Tunnels,No link,Railway,483.0,"1892, 1852, 1878",,
Greenwich foot tunnel,/wiki/Greenwich_foot_tunnel,Pedestrian,371.0,1902,51.483333333333334,-0.010277777777777778
Hadley Wood North Tunnels,No link,Railway,212.0,Unknown,,
Hadley Wood South Tunnels,No link,Railway,351.0,Unknown,,
"Islington Tunnel, Regent's Canal",/wiki/Islington_Tunnel,Canal,878.0,1818,51.53411111111111,-0.10866111111111111
"Maida Hill Tunnel, Regent's Canal",/wiki/Maida_Hill_Tunnel,Canal,251.0,1816,51.52515833333333,-0.1757611111111111
"Eyre's tunnel, Regent's Canal",/wiki/Eyre%27s_tunnel,Canal,48.0,1816,51.52638888888889,-0.17166666666666666
Bankside power station cooling water discharge tunnel,/wiki/Bankside_Power_Station,River water,366.0,1952,51.5075,-0.09888888888888889
Battersea power station tunnels,/wiki/Battersea_Power_Station,"Electricity cables, steam & hot water pipes",,Unknown,51.48166666666667,-0.14472222222222222
Hackney Downs or Queen's Road Tunnel,No link,Railway,407.0,1872,,
Hampstead Heath Tunnel,No link,Railway,1066.0,1860,,
Hoe Street Tunnel,No link,Railway,65.0,1870,,
Kingsway Exchange,/wiki/Kingsway_Exchange,Telephone (disused),,1954,51.518055555555556,-0.11055555555555556
Kingsway tramway subway,/wiki/Kingsway_tramway_subway,Tramway (disused),,1906,51.51836111111111,-0.12077777777777778
Limehouse Link tunnel,/wiki/Limehouse_Link_tunnel,Road,1800.0,1993,51.51111111111111,-0.03305555555555556
London Deep Level Shelters,/wiki/London_Deep_Level_Shelters,Air Raid Shelter,370.0,1942,,
Hampstead Tunnel,No link,Railway,632.0,1899,,
Heathrow link road,/wiki/London_Heathrow_Airport,Road,,1955,51.4775,-0.4613888888888889
Heathrow ART,/wiki/Heathrow_Airside_Road_Tunnel,Road,1420.0,2005,51.468333333333334,-0.4905555555555556
Heathrow Cargo Tunnel,/wiki/Heathrow_Cargo_Tunnel,Road,885.0,1968,51.46388888888889,-0.45611111111111113
Kensal GreenTunnels,No link,Railway,293.0,1837,,
London Post Office Railway,/wiki/London_Post_Office_Railway,Railway (decommissioned),10500.0,1927,51.52388888888889,-0.1125
Primrose Hill Fast Tunnel,No link,Railway,1080.0,1879[18],,
Primrose Hill Slow Tunnel,No link,Railway,1070.0,1837[18],,
Rotherhithe Tunnel,/wiki/Rotherhithe_Tunnel,Road,1481.0,1908[42],51.506388888888885,-0.04861111111111111
Snow Hill tunnel,/wiki/Snow_Hill_Tunnel_(London),Railway,,1866,51.51777777777777,-0.10388888888888889
St John's Wood Tunnel,No link,Railway,1469.0,1899,,
South Hampstead Tunnel,No link,Railway,1328.0,1922,,
South Harrow Tunnel,No link,Railway,187.0,1905,,
Stoke Newington Tunnel,No link,Railway,55.0,1872,,
Strand Underpass,/wiki/Strand_Underpass,Road,365.0,1964,51.51658333333334,-0.11886111111111111
Sydenham Hill (also Penge),No link,Railway,1958.0,1863,,
Thames Tunnel,/wiki/Thames_Tunnel,Railway,396.0,1843,51.503055555555555,-0.051944444444444446
Tottenham North Curve Tunnel No.1,No link,Railway,146.0,1883[18],,
Tottenham North Curve Tunnel No.2,No link,Railway,64.0,1883,,
Tottenham North Curve Tunnel No.3,No link,Railway,94.0,1883,,
Tower Subway,/wiki/Tower_Subway,Pedestrian (disused),411.0,1870,51.50833333333333,-0.07888888888888888
Wood Green Tunnel,No link,Railway,645.0,1848,,
Woolwich Foot Tunnel,No link,Pedestrian,495.0,1912,,
Kingsway Tunnel,/wiki/Kingsway_Tunnel,Road,2483.0,1971,53.41305555555555,-3.01
Mersey Railway,/wiki/Mersey_Railway,Railway,3820.0,1886–1892,,
Queensway Tunnel,/wiki/Queensway_Tunnel,Road,3237.0,1934,53.40083333333333,-3.0030555555555556
Scholes Tunnel,No link,Railway,73.0,1871,,
Victoria Tunnel & Waterloo Tunnel,/wiki/Victoria_Tunnel_(Liverpool),Railway,3254.0,1849,53.401944444444446,-2.9461111111111116
Wapping Tunnel,/wiki/Wapping_Tunnel,Railway,2030.0,1829,53.39972222222222,-2.9697222222222224
Williamson Tunnels,/wiki/Williamson_Tunnels,Folly,3000.0,1800–40,53.40472222222222,-2.958888888888889
Aylsham Bypass Tunnel,/wiki/Aylsham_Bypass_Tunnel,Railway,166.0,1990,52.78972222222222,1.2619444444444445
Cromer Tunnel,/wiki/Cromer_Tunnel,Railway,56.0,1888,52.91777777777777,1.3091666666666668
Blisworth Tunnel,/wiki/Blisworth_Tunnel,Canal,2794.0,1805,52.15611111111111,-0.928611111111111
Braunston Tunnel,/wiki/Braunston_Tunnel,Canal,1887.0,1796,52.282777777777774,-1.1725
Catesby Tunnel,No link,Railway,2740.0,1899,,
Corby Tunnel,No link,Railway,1760.0,1878,,
Crick Tunnel,/wiki/Grand_Union_Canal,Canal,1397.0,1814,52.05083333333333,-0.7338888888888888
Hunsbury Hill Tunnel,/wiki/Hunsbury_Hill_Tunnel,Railway,1053.0,1881,52.22222222222222,-0.9155555555555556
Kelmarsh Tunnel,/wiki/Kelmarsh_Tunnel,Railway,294.0,1859,52.406666666666666,-0.8966666666666666
Kilsby Tunnel,/wiki/Kilsby_Tunnel,Railway,2218.0,1838,52.33111111111111,-1.1638888888888888
Oxendon Tunnel,/wiki/Oxendon_Tunnel,Railway,422.0,1859,52.44277777777778,-0.9158333333333334
Stowe Hill tunnel,/wiki/Stowe_Hill_tunnel,Railway,449.0,1838,52.22083333333334,-1.0611111111111111
Hillhead Tunnel,No link,Railway,321.0,1887,,
Annesley Tunnel,/wiki/Robin_Hood_Line,Railway,915.0,1892,,
Barnstone Tunnel,No link,Railway,90.0,1899,,
Ashwell Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,64.0,1889,52.958333333333336,-1.1477777777777778
Drakeholes Tunnel,/wiki/Chesterfield_Canal#Drakeholes_Tunnel,Canal,141.0,1777,53.239919444444446,-1.4210055555555556
Mapperley Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Northern_Railway,Railway,1035.0,1875,52.958333333333336,-1.1477777777777778
Park Tunnel,"/wiki/Park_Tunnel,_Nottingham",Horsedrawn carriages,,Unknown,52.95444444444445,-1.1594444444444443
Redhill Tunnel,No link,Unknown,,Unknown,,
Sherwood Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,404.0,1889,52.958333333333336,-1.1477777777777778
Sherwood Rise Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Central_Railway,Railway,605.0,1899,52.958333333333336,-1.1477777777777778
Sneinton Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,117.0,1889,52.958333333333336,-1.1477777777777778
"Stanton Tunnel, Railway Test Track, Stanton on the Wolds",No link,Railway,1220.0,1879,,
Thorneywood Tunnel,/wiki/Nottingham%27s_Tunnels#Nottingham_Suburban_Railway,Railway,373.0,1889,52.958333333333336,-1.1477777777777778
Victoria Street Tunnel also known as Weekday Cross Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Central_Railway,Railway,266.0,1897,52.958333333333336,-1.1477777777777778
Watnall Tunnel,/wiki/Great_Northern_Railway_(Great_Britain),Railway,245.0,Unknown,,
Mansfield Road Tunnel,/wiki/Nottingham%27s_Tunnels#Great_Central_Railway,Railway,1087.0,1898 [44],52.958333333333336,-1.1477777777777778
