latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
51.51086553,-0.07518255,0.2,1213.0,926.0,8584.0,827.0,2487.0,315.0,13140.0,A1211
51.5112179,-0.07473535,0.2,892.0,1240.0,11921.0,902.0,3271.0,734.0,18068.0,A1211
51.513995,-0.07529564,0.5,306.0,379.0,2699.0,397.0,1089.0,196.0,4761.0,A1211
51.514537,-0.07597902,1.0,635.0,1302.0,7251.0,1478.0,3088.0,609.0,13728.0,A1211
51.51664,-0.08459597,0.5,506.0,897.0,6033.0,87.0,1448.0,335.0,8800.0,A1211
51.51752124,-0.09176574,0.5,425.5,596.5,6518.0,151.0,1352.5,337.0,8955.0,A1211
51.51957791,0.01642696,1.9,274.5,125.0,4766.0,541.0,390.0,86.5,5908.0,A124
51.53165908,0.04579716,1.8,149.0,79.0,6505.0,594.0,761.5,126.5,8066.5,A124
51.5072318,-0.01365954,0.9,31.5,1752.0,35292.5,204.0,9928.5,3279.5,50456.0,A1261
51.50868548,-0.00394104,0.5,59.0,1588.5,36081.5,204.5,9016.0,2890.0,49781.5,A1261
51.50931343,-0.02509781,0.5,87.0,422.5,8691.5,48.0,1947.5,609.5,11718.5,A1261
51.510417,-0.02663535,0.3,348.5,334.0,11381.5,644.0,2135.5,246.5,14741.5,A1261
51.51042625,-0.00055033,0.2,59.0,1589.0,36082.0,205.0,9016.0,2890.0,49781.0,A1261
51.51265309,0.00070015,0.5,59.0,1589.0,36082.0,205.0,9016.0,2890.0,49781.0,A1261
51.51122025,0.00034914,0.2,59.0,398.5,9975.0,92.5,2439.0,779.0,13683.5,A1263
51.48217407,0.28569335,1.4,33.5,40.0,6209.0,120.5,1221.0,884.5,8475.0,A126
51.4859554,0.30522747,3.2,20.5,30.0,2944.0,5.0,719.0,291.5,3988.5,A126
51.48986971,0.28766291,1.0,0.0,63.0,7689.5,9.0,1159.5,602.5,9523.0,A126
